individual_id,tattoo,year,quarter,q_index,n_capture_rows,p_min,p_max,p_mean,p_range
208,009R,2004,3,8018,1,0.005326141,0.005326141,0.005326141,0
208,009R,2004,4,8019,1,0.013471037,0.013471037,0.013471037,0
208,009R,2005,3,8022,1,0.220908073,0.220908073,0.220908073,0
208,009R,2006,2,8025,1,0.999999997,0.999999997,0.999999997,0
209,009S,2021,2,8085,1,0.008780177,0.008780177,0.008780177,0
209,009S,2022,2,8089,1,0.037693406,0.037693406,0.037693406,0
210,009T,2017,2,8069,1,0.126574978,0.126574978,0.126574978,0
212,009V,2015,2,8061,1,0.157534568,0.157534568,0.157534568,0
212,009V,2015,3,8062,1,0.183713376,0.183713376,0.183713376,0
213,009W,2005,2,8021,1,0.01599487,0.01599487,0.01599487,0
214,009X,2025,3,8102,1,0.107448628,0.107448628,0.107448628,0
214,009X,2025,4,8103,1,0.110927879,0.110927879,0.110927879,0
215,009Y,2007,2,8029,1,0.003835037,0.003835037,0.003835037,0
216,009Z,2019,2,8077,1,8.59e-7,8.59e-7,8.59e-7,0
216,009Z,2019,3,8078,1,3.62e-6,3.62e-6,3.62e-6,0
216,009Z,2019,4,8079,2,6.26e-6,6.26e-6,6.26e-6,0
216,009Z,2020,3,8082,1,4.97e-5,4.97e-5,4.97e-5,0
216,009Z,2020,4,8083,1,1.06e-4,1.06e-4,1.06e-4,0
216,009Z,2021,2,8085,1,0.001763378,0.001763378,0.001763378,0
216,009Z,2021,3,8086,1,0.002652902,0.002652902,0.002652902,0
216,009Z,2021,4,8087,1,0.007016229,0.007016229,0.007016229,0
217,010A,2014,2,8057,1,0.558327599,0.558327599,0.558327599,0
217,010A,2014,3,8058,1,0.638030273,0.638030273,0.638030273,0
217,010A,2015,2,8061,1,0.675385361,0.675385361,0.675385361,0
218,010B,2006,2,8025,1,6.83e-4,6.83e-4,6.83e-4,0
218,010B,2006,3,8026,1,0.001447676,0.001447676,0.001447676,0
219,010C,2016,3,8066,2,0.001377538,0.001377538,0.001377538,0
220,010D,2022,3,8090,1,0.180684001,0.180684001,0.180684001,0
221,010E,2013,2,8053,1,0.001746744,0.001746744,0.001746744,0
221,010E,2013,3,8054,1,0.00484295,0.00484295,0.00484295,0
221,010E,2013,4,8055,1,0.027815095,0.027815095,0.027815095,0
221,010E,2014,2,8057,1,0.996580533,0.996580533,0.996580533,0
221,010E,2014,3,8058,1,0.999840142,0.999840142,0.999840142,0
221,010E,2014,4,8059,1,0.999860107,0.999860107,0.999860107,0
221,010E,2015,2,8061,1,0.99987155,0.99987155,0.99987155,0
222,010F,2010,2,8041,1,1.78e-4,1.78e-4,1.78e-4,0
222,010F,2011,2,8045,1,3.36e-4,3.36e-4,3.36e-4,0
222,010F,2011,3,8046,1,7.46e-4,7.46e-4,7.46e-4,0
222,010F,2011,4,8047,1,0.003795794,0.003795794,0.003795794,0
222,010F,2018,2,8073,1,0.999999993,0.999999993,0.999999993,0
223,010G,2003,2,8013,1,0.013312603,0.013312603,0.013312603,0
224,010H,2020,3,8082,1,0.002918063,0.002918063,0.002918063,0
225,010K,2012,2,8049,1,0.016947677,0.016947677,0.016947677,0
226,010L,2011,3,8046,2,1.13e-4,1.13e-4,1.13e-4,0
226,010L,2012,3,8050,1,0.01283701,0.01283701,0.01283701,0
