tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
004W,31,2006,4,1,JUNCTION,380841,200432,1,1
004W,32,2007,4,1,THISTLEWOODBANK,381109,200408,2,1
004Y,32,2007,999,2,HEDGE,381350,200278,1,1
004Z,44,2019,999,2,INCHBROOK,384013,200739,3,1
005A,39,2014,4,1,ARTHURS,380534,200550,2,1
005A,40,2015,4,1,MEAD,380390,200637,1,1
005B,31,2006,1,1,WEST,380190,201400,3,1
005B,32,2007,2,1,BOX,380621,201409,1,1
005C,41,2016,999,2,WINDSOREDGE,383635,200531,2,1
005C,42,2017,999,2,WINDSOREDGE,383635,200531,1,1
005C,43,2018,999,2,WINDSOREDGE,383635,200531,1,1
005E,38,2013,12,1,TOP,381795,200962,2,1
005F,35,2010,4,1,MEAD,380390,200637,1,1
005G,28,2003,999,2,HEDGE,381350,200278,1,1
005K,37,2012,1,1,WEST,380190,201400,1,1
005L,36,2011,20,1,PARKMILL,383730,200924,3,1
005L,37,2012,20,1,PARKMILL,383730,200924,3,1
005L,38,2013,20,1,PARKMILL,383730,200924,3,1
005L,39,2014,20,1,PARKMILL,383730,200924,2,1
005M,43,2018,5,1,JACKSMIREY,380678,200030,1,1
005M,44,2019,5,1,JACKSMIREY,380678,200030,1,1
005N,34,2009,1,1,WEST,380190,201400,3,1
005N,35,2010,1,1,WEST,380190,201400,3,1
005N,36,2011,4,1,MEAD,380390,200637,1,1
005P,33,2008,999,2,CARPARK,379814,201477,1,2
005P,35,2010,1,1,WEST,380190,201400,1,2
005R,29,2004,18,1,NETTLE,383024,201142,1,2
005T,42,2017,2,1,LARCH,380541,201242,2,1
005T,43,2018,2,1,BOX,380621,201409,2,1
005T,44,2019,2,1,BOX,380621,201409,1,1
005V,40,2015,17,1,OLDOAK,382624,201274,3,1
005W,30,2005,4,1,THISTLEWOODBANK,381109,200408,2,1
005W,31,2006,4,1,THISTLEWOODBANK,381109,200408,1,1
005Y,32,2007,999,2,HEDGE,381350,200278,1,1
005Z,44,2019,8,1,HONEYWELL,381931,201706,3,1
006A,39,2014,4,1,ARTHURS,380534,200550,3,1
006A,40,2015,4,1,MEAD,380390,200637,1,1
006A,41,2016,4,1,MEAD,380390,200637,1,1
006A,42,2017,4,1,MEAD,380390,200637,1,1
006B,31,2006,5,1,JACKSMIREY,380678,200030,1,2
006C,41,2016,8,1,BEND,381942,201770,1,1
006C,42,2017,7,1,BREAKHEART,381370,201620,1,1
006C,43,2018,7,1,BREAKHEART,381370,201620,1,1
006E,38,2013,15,1,KENNEL,382464,200922,2,1
006E,39,2014,16,1,WOODRUSH,382713,200607,2,1
006F,35,2010,4,1,MEAD,380390,200637,1,1
006G,28,2003,4,1,ARTHURS,380534,200550,2,1
006G,29,2004,4,1,ARTHURS,380534,200550,1,1
006K,37,2012,1,1,WEST,380190,201400,2,1
006L,36,2011,5,1,JACKSMIREY,380678,200030,2,1
006L,37,2012,5,1,JACKSMIREY,380678,200030,2,1
006L,38,2013,4,1,MEAD,380390,200637,2,1
006L,39,2014,4,1,MEAD,380390,200637,1,1
006M,43,2018,11,1,YEW,381619,201268,2,1
006M,44,2019,11,1,TAXUS,381737,201220,1,1
006N,34,2009,4,1,MEAD,380390,200637,1,1
006P,33,2008,999,2,HEDGE,381350,200278,3,1
006R,29,2004,2,1,LARCH,380541,201242,1,1
006T,42,2017,2,1,LARCH,380541,201242,3,1
006T,43,2018,2,1,LARCH,380541,201242,2,1
006V,40,2015,8,1,HONEYWELL,381931,201706,1,2
006W,30,2005,4,1,EARTH,380906,200398,1,1
006Y,32,2007,999,2,HEDGE,381350,200278,2,1
006Y,33,2008,999,2,HEDGE,381350,200278,2,1
006Z,44,2019,8,1,HONEYWELL,381931,201706,2,1
007A,39,2014,4,1,ARTHURS,380534,200550,1,1
007A,40,2015,4,1,MEAD,380390,200637,1,1
007A,41,2016,4,1,ARTHURS,380534,200550,1,1
007B,31,2006,2,1,BOX,380621,201409,3,1
007C,41,2016,8,1,CHAIN,381946,201669,2,1
007C,42,2017,8,1,CHAIN,381946,201669,2,1
007E,38,2013,15,1,KENNEL,382464,200922,2,1
007F,35,2010,21,1,COLLIERSWOOD,382931,200706,1,2
007F,36,2011,21,1,COLLIERSWOOD,382931,200706,1,2
007F,38,2013,21,1,COLLIERSWOOD,382931,200706,1,2
007F,39,2014,21,1,COLLIERSWOOD,382931,200706,1,2
007G,28,2003,2,1,BOX,380621,201409,2,1
007G,29,2004,2,1,LARCH,380541,201242,2,1
007G,30,2005,2,1,BOX,380621,201409,1,1
007G,31,2006,2,1,LARCH,380541,201242,1,1
007K,37,2012,4,1,MEAD,380390,200637,1,1
007L,36,2011,1,1,WEST,380190,201400,2,1
007M,43,2018,11,1,YEW,381619,201268,3,1
007M,44,2019,11,1,YEW,381619,201268,2,1
007N,34,2009,4,1,MEAD,380390,200637,2,1
007P,33,2008,999,2,HEDGE,381350,200278,2,1
007R,29,2004,999,2,HEDGE,381350,200278,1,1
007T,42,2017,1,1,WEST,380190,201400,2,1
007T,43,2018,1,1,WEST,380190,201400,1,1
007W,30,2005,999,2,HEDGE,381350,200278,1,2
