tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
002V,2016,1,1,1,BOXWOOD,BOXWOOD,381241,201774,1,2016-01-26,TRUE,TRUE,TRUE
002V,2017,1,1,1,CEDAR,CEDAR,381022,201589,1,2017-06-13,TRUE,TRUE,TRUE
002V,2018,4,3,2,CEDAR,CEDAR,381022,201589,2,2018-10-31,TRUE,TRUE,TRUE
002V,2019,3,3,2,CEDAR,CEDAR,381022,201589,1,2019-10-23,TRUE,TRUE,TRUE
002V,2020,2,2,1,CEDAR,RABBIT,380856,201662,1,2020-08-18,TRUE,TRUE,TRUE
002W,2005,1,1,1,PEGLARS,PEN,382191,199820,1,2005-05-04,TRUE,TRUE,FALSE
002X,2025,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2025-05-21,TRUE,TRUE,FALSE
002X,2026,1,1,1,ARTHURS,MEAD,380390,200637,1,2026-05-12,TRUE,TRUE,FALSE
002Y,2007,2,2,2,TOP,TOP,381795,200962,1,2007-05-22,TRUE,TRUE,TRUE
002Y,2011,1,1,1,TOP,TOP,381795,200962,1,2011-05-18,TRUE,TRUE,TRUE
002Z,2019,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2019-06-26,TRUE,TRUE,FALSE
002Z,2022,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
003A,2014,4,1,1,CEDAR,CEDAR,381022,201589,4,2014-12-09,TRUE,TRUE,TRUE
003A,2015,5,5,4,SEPTICTANK,FERN,381314,201301,1,2015-10-13,TRUE,TRUE,TRUE
003A,2016,1,1,1,CEDAR,CEDAR,381022,201589,1,2016-07-13,TRUE,TRUE,TRUE
003A,2018,1,1,1,BOXWOOD,BULLPEN,381230,201693,1,2018-06-26,TRUE,TRUE,TRUE
003A,2019,1,1,1,BREAKHEART,BOXWOOD,381241,201774,1,2019-05-21,TRUE,TRUE,TRUE
003A,2020,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
003B,2006,3,2,1,LARCH,BOX,380621,201409,2,2006-07-18,TRUE,TRUE,FALSE
003B,2007,2,1,1,LARCH,BOX,380621,201409,2,2007-07-31,TRUE,TRUE,FALSE
003C,2016,3,2,1,JACKSMIREY,JACKSMIREY,380678,200030,2,2016-07-12,TRUE,TRUE,FALSE
003D,2022,3,1,1,KENNEL,CULDESAC,382399,200920,3,2022-11-22,TRUE,TRUE,FALSE
003D,2023,2,2,1,YEW,YEW,381619,201268,1,2023-05-23,TRUE,TRUE,FALSE
003E,2013,3,2,1,BEECH,BEECH,380931,201164,2,2013-07-16,TRUE,TRUE,FALSE
003E,2014,2,2,1,BEECH,MANSION,380901,201150,1,2014-09-23,TRUE,TRUE,FALSE
003F,2010,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2010-05-11,TRUE,TRUE,FALSE
003G,2003,3,1,1,FIELDFARM,FIELDFARM,380936,199687,3,2003-10-28,TRUE,TRUE,FALSE
003G,2004,2,1,1,FIELDFARM,FIELDFARM,380936,199687,2,2004-05-26,TRUE,TRUE,FALSE
003H,2020,1,1,1,TOP,TOP,381795,200962,1,2020-01-22,TRUE,TRUE,FALSE
003J,2023,2,2,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2023-06-06,TRUE,TRUE,FALSE
003K,2012,1,1,1,BEECH,CHESNUT,380834,201150,1,2012-05-29,TRUE,TRUE,FALSE
003L,2011,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2011-01-25,TRUE,TRUE,FALSE
003M,2018,2,1,1,NETTLE,NETTLE,383024,201142,2,2018-08-21,TRUE,TRUE,FALSE
003M,2019,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
003N,2009,2,2,2,TOP,YEW,381619,201268,1,2009-10-27,TRUE,TRUE,TRUE
003N,2010,3,1,1,TOP,TOP,381795,200962,3,2010-11-16,TRUE,TRUE,TRUE
003N,2011,4,1,1,TOP,TOP,381795,200962,4,2011-09-20,TRUE,TRUE,TRUE
