tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
E036,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,2.861028138037857e-5,5.791896055672105e-10,0.02552022016131791
E036,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,5.4515234453176995e-5,2.8531405689365747e-9,0.043084020177213175
E036,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,1.296044885199468e-4,1.3617537607099335e-8,0.051553705807054234
E036,1989-06-20,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,1.296044885199468e-4,1.3617537607099335e-8,0.051553705807054234
E036,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,2.409082198069705e-4,1.1723805142234433e-7,0.055354798080643336
E036,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,3.016876780909789e-4,3.726450854864516e-7,0.06035777963006264
E036,1990-02-21,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,6.228027213659375e-4,1.7754126676169043e-6,0.08125741142341482
E036,1990-06-19,1990,2,0.107280137099415,0.107280137099415,0.0528457603016671,0.001558245016709555,9.225580254928894e-6,0.09139096871089321
E036,1990-08-14,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,0.0023456844017090547,3.0149760733783346e-5,0.09549645168343177
E036,1991-02-19,1991,1,0.107280137099415,0.107280137099415,0.0404473043515461,0.004210211623750266,1.7249982438046786e-4,0.12332116045304045
E036,1991-07-02,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,0.010398324527338708,9.185627163571161e-4,0.13819945637236564
E036,1991-09-03,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,0.010398324527338708,9.185627163571161e-4,0.13819945637236564
E037,1988-05-25,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.0015399384800525127,7.670659808936833e-6,0.04055827604793734
E037,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,0.0021678397019337606,2.1567021096491306e-5,0.04576654683308931
E037,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,0.002510661751014921,5.579473325587703e-5,0.05262040614045502
E037,1989-02-08,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,0.004783920583286177,2.7484992039772475e-4,0.08883538721679425
E037,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,0.011373290173582247,0.001311810279547246,0.10629911969664746
E037,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,0.016906738041598826,0.003911710659198903,0.11335994087547
E038,1988-05-25,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,1.6710889352433198e-4,1.9041456187292022e-8,0.02867767940073179
E038,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,2.3524660148495995e-4,5.353743974159652e-8,0.03236030929437546
E038,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,2.7244848587175917e-4,1.3850346583427483e-7,0.03720649111043791
E038,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,5.191348133296655e-4,6.822806443894889e-7,0.06281314203374913
E038,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,0.0016796129674406203,6.0165519414501796e-6,0.08499232668784372
E038,1990-02-06,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,0.0022356234590195007,1.194363702037392e-5,0.10727175260789948
E038,1990-06-05,1990,2,0.107280137099415,0.107280137099415,0.0528457603016671,0.003855341193739036,4.3422677243967915e-5,0.11807432755875719
E038,1990-08-15,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,0.005218791984075419,1.3183318764125782e-4,0.12245085460273207
E038,1990-10-30,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,0.0059638906487368675,3.756741130278178e-4,0.12822526993495473
E038,1991-02-19,1991,1,0.107280137099415,0.107280137099415,0.0404473043515461,0.01034732233572283,0.0019090151611728572,0.15474015216733553
E039,1988-05-25,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,1.7603356018049155e-5,7.98736345664603e-11,0.019703155447365773
E039,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,2.4781025058806394e-5,2.2457473081276522e-10,0.022233326324711093
E039,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,2.8699894974055864e-5,5.809836762179047e-10,0.025562921872307572
E039,1989-02-02,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,5.468598796673243e-5,2.8619783238061935e-9,0.04315611051837209
E039,1989-02-08,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,5.468598796673243e-5,2.8619783238061935e-9,0.04315611051837209
E039,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,1.876444389024369e-4,4.431864308439961e-8,0.05257319237909817
E039,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,2.9929679756637146e-4,1.4826012695998213e-7,0.05638064483072201
E039,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,3.602666302687987e-4,4.0445829791499826e-7,0.06139199761952952
E039,1990-02-06,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,6.823874753612623e-4,1.8115710273420442e-6,0.08232659972391303
E039,1990-08-14,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,0.0020682621416503893,1.4180171357554117e-5,0.09618193503431133
E039,1990-10-30,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,0.0023128132582904332,2.768182402474201e-5,0.10107009887227883
E039,1991-06-18,1991,2,0.107280137099415,0.107280137099415,0.0404473043515461,0.006131747760279792,2.1798611806006672e-4,0.1333488372632365
E039,1991-09-03,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,0.00813778730268984,5.144452323087256e-4,0.13733702779170556
E039,1991-11-12,1991,4,0.107280137099415,0.107280137099415,0.0404473043515461,0.009234456866505333,0.0013328677743199993,0.14260593021828724
